V1,V2,APP_offtime,CB_DA,CE_DA,NPURP,APP_NAME,NPURP_label,ADDR,Time_interval,Time_interval_label,APP_Name_label,Double_label
121.5135149,25.03851789,0,2014/6/12,2014/6/20,市政建設,臺北市政府警察局,2,長沙街2段72號(BA061),8,3,6,7
121.5356923,25.06616806,0,2014/6/23,2014/6/24,民生需求-新建房屋,電信北區,4,新生北路3段(民族東路口),1,2,4,4
121.5612464,25.02900265,0,2014/6/20,2014/6/20,搶修,自來水南區,1,安和路2段59巷12號旁,0,1,3,11
121.5612464,25.02900265,0,2014/6/20,2014/6/20,搶修,自來水南區,1,安和路2段59巷12號旁,0,1,3,11
121.5096404,25.01736056,0,2014/6/24,2014/6/26,民生需求-舊有用戶,台電市區,4,水源路213巷與富民路145巷口,2,2,2,2
121.5542562,25.03815746,0,2013/12/16,2014/12/31,其他(計劃性挖掘),自來水南區,3,"大安路1段以東,敦化南路1段以西,忠孝東路4段以南,仁愛路4段以北等區塊",380,5,3,3
121.5867566,25.05198688,0,2014/6/23,2014/7/7,管線單位需求-建設需求,台灣智慧光網,3,堤頂大道1段與行善路口(共8處過溝蓋版)-詳附件,14,3,4,4
121.5301546,25.05912414,0,2014/6/23,2014/6/24,市政建設,自來水北區,2,集英里中山北路2段116巷15號,1,2,3,3
121.5645912,25.04467297,0,2014/6/16,2014/6/19,市政建設,自來水南區,2,光復南路32巷13號旁.八德路3段12巷16弄7號旁,3,3,3,3
121.5205941,25.1344948,0,2014/5/28,2014/6/18,民生需求-新建房屋,電信士林,4,溫泉路128號對面銀光巷口新建房屋,21,4,4,4
121.5348682,25.11911148,0,2014/6/24,2014/6/24,搶修,自來水陽明,1,天母北路50號(天玉里),0,1,3,11
121.5574349,25.00225526,0,2014/6/24,2014/6/27,民生需求-舊有用戶,台電南區,4,福興路63巷4弄20號前,3,3,2,2
121.4910247,25.13529069,0,2014/6/17,2014/6/21,管線單位需求-建設需求,台灣智慧光網,3,中央北路4段32號旁與中央北路3段148巷口(等二處),4,3,4,4
121.5569335,25.05685693,0,2014/6/16,2014/6/17,市政建設,自來水東區,2,敦化北路222巷2號旁,1,2,3,3
121.5662837,25.02947384,0,2014/6/4,2014/6/25,市政建設,自來水南區,2,嘉興街50號前,21,4,3,3
121.5662837,25.02947384,0,2014/6/4,2014/6/25,市政建設,自來水南區,2,嘉興街50號前,21,4,3,3
121.555526,25.05049785,0,2014/6/16,2014/6/17,市政建設,自來水東區,2,南京東路3段303巷6弄11號旁,1,2,3,3
121.529733,25.11205479,0,2013/11/25,2014/7/31,管線改善,自來水陽明,3,"懷德街北投區懷德街以東,明德路以西以南及東陽街以北等一帶管網改善工程",248,5,3,3
121.5293629,25.0546775,0,2014/6/24,2014/6/24,搶修,大台北瓦斯,1,中山北路2段62巷30弄1號右前,0,1,1,9
121.5574604,25.00232683,0,2014/6/24,2014/6/27,民生需求-舊有用戶,台電南區,4,福興路63巷4弄20號前,3,3,2,2
121.5229874,25.07250859,0,2014/6/16,2014/6/17,管線單位需求-既設管線改善,自來水北區,3,保安里哈密街59巷18弄13號旁,1,2,3,3
121.4863679,25.1040276,0,2014/5/20,2014/9/30,管線單位需求-既設管線改善,自來水北區,3,延平北路8段及9段(自8段2巷口起至9段145號旁止),133,5,3,3
121.5326661,25.03159109,0,2014/6/16,2014/6/16,搶修,自來水南區,1,杭州南路2段25巷15號旁,0,1,3,11
121.4994072,25.09811056,0,2014/5/15,2014/9/18,其他(配合路平工程汰換),自來水北區,5,延平北路7段自11巷口起至7段260巷口止,126,5,3,6
121.6220553,25.04514768,0,2014/6/24,2014/6/24,搶修,自來水東區,1,研究院路2段12巷58弄7號(中研里),0,1,3,11
121.5325138,25.02856612,0,2014/6/20,2014/6/20,搶修,自來水南區,1,金華街70號旁,0,1,3,11
121.5536385,25.04779079,0,2014/6/18,2014/6/20,管線單位需求-建設需求,亞太電信,3,南京東路3段256巷28弄21號旁,2,2,4,4
121.5334768,25.02721158,0,2014/6/20,2014/6/20,搶修,自來水南區,1,潮州街67號前,0,1,3,11
121.534472,25.02594141,0,2014/6/19,2014/6/20,民生需求-新建房屋,自來水南區,4,金山南路2段215巷口,1,2,3,3
121.6019792,25.08201096,0,2014/6/23,2014/6/24,民生需求-新建房屋,台電北區,4,成功路4段182巷6弄口,1,2,2,2
121.6019604,25.0820311,0,2014/6/23,2014/6/24,民生需求-新建房屋,台電北區,4,成功路4段182巷6弄口,1,2,2,2
121.5883321,25.04691058,0,2014/6/18,2014/6/22,管線單位需求-建設需求,台灣智慧光網,3,中坡北路110號前,4,3,4,4
121.5883321,25.04691058,0,2014/6/18,2014/6/22,管線單位需求-建設需求,台灣智慧光網,3,中坡北路110號前,4,3,4,4
121.5472291,25.00721229,0,2014/6/20,2014/6/20,搶修,自來水南區,1,羅斯福路4段119巷62弄5號旁,0,1,3,11
121.5536385,25.04779079,0,2014/6/18,2014/6/20,管線單位需求-建設需求,亞太電信,3,南京東路3段256巷28弄21號旁,2,2,4,4
121.5472291,25.00721229,1,2014/6/20,2014/6/20,搶修,自來水南區,1,羅斯福路4段119巷62弄5號旁,0,1,3,11
121.6001152,25.0676643,1,2014/6/19,2014/6/20,管線單位需求-建設需求,亞太電信,3,民權東路6段111號,1,2,4,4
121.6001152,25.0676643,1,2014/6/19,2014/6/20,管線單位需求-建設需求,亞太電信,3,民權東路6段111號,1,2,4,4
121.5309072,25.06643825,1,2014/6/21,2014/6/30,管線單位需求-既設管線改善,電信北區,3,中山北路2段22號至中山北路3段(民族西路口),9,3,4,4
121.5995059,25.07927542,1,2014/6/23,2014/6/27,管線單位需求-建設需求,台灣智慧光網,3,成功路4段190號前及14號前2處(共3處),4,3,4,4
121.5995059,25.07927542,1,2014/6/23,2014/6/27,管線單位需求-建設需求,台灣智慧光網,3,成功路4段190號前及14號前2處(共3處),4,3,4,4
121.518902,25.07912329,1,2014/6/2,2014/12/4,管線單位需求-建設需求,台電北區,3,延平北路5段(1號前~224巷口),185,5,2,2
121.6205578,25.06059132,1,2014/5/19,2014/6/25,其他(管溝損壞),台電北區,3,環東大道往東近南港下方(路燈桿旁),37,4,2,2
121.5521617,25.04825275,1,2014/4/28,2014/6/27,管線單位需求-建設需求,台灣智慧光網,3,復興北路58號前,60,4,4,4
121.5308996,25.06640329,1,2014/6/21,2014/6/30,管線單位需求-既設管線改善,電信北區,3,中山北路2段22號至中山北路3段(民族西路口),9,3,4,4
121.5642714,25.14042125,1,2014/6/15,2014/6/16,搶修,自來水陽明,1,菁山路99號前(菁山里),1,2,3,11
121.536217,25.10844765,1,2014/6/19,2014/6/19,搶修,自來水陽明,1,德行東路109巷83弄6號(蘭雅里),0,1,3,11
121.5385412,25.03923487,1,2014/6/3,2014/6/27,管線單位需求-配合拆遷,台電市區,3,臨沂街14巷6-1號旁至臨沂街27巷1號前,24,4,2,2
121.5864386,25.02893,1,2014/6/15,2014/10/14,市政建設,自來水東區,2,松山路650巷松山路640號至650巷、656巷及附近巷道,121,5,3,3
121.5374281,25.06430165,1,2014/6/24,2014/6/26,民生需求-舊有用戶,台電市區,4,農安街77巷9弄23號前至125巷口,2,2,2,2
121.5666284,25.01697864,1,2014/3/29,2014/10/19,管線單位需求-建設需求,自來水工總,3,和平東路3段433號及445號前2處工作井及447號前銜接處,204,5,3,3
121.5667668,25.01699007,1,2014/3/29,2014/10/19,管線單位需求-建設需求,自來水工總,3,和平東路3段433號及445號前2處工作井及447號前銜接處,204,5,3,3
121.5713468,25.04775208,1,2014/6/25,2014/6/25,搶修,自來水東區,1,八德路4段181巷27號旁,0,1,3,11
121.5180898,25.05916518,1,2014/3/8,2014/6/29,市政建設,台電市區,2,涼州街(迪化街1段口至延平北路2段口)及安西街110號前至涼州街口,113,5,2,2
